"","Age","Experience","Income","Family","CCAvg","Education","Mortgage","Personal.Loan","Securities.Account","CD.Account","Online","CreditCard","EducationNumber","logit.reg.pred"
"795",54,29,44,2,2.3,"Advanced/Professional",0,0,0,0,1,0,3,0.0045292520498062
"796",57,32,15,2,0.2,"Advanced/Professional",0,0,0,0,0,1,3,0.000281245953303067
"797",30,6,82,2,2.5,"Undergrad",0,0,0,0,0,0,1,0.000861417097894791
"801",31,7,173,1,6,"Undergrad",0,0,0,0,1,0,1,0.134447446298723
"804",52,27,62,4,1.8,"Advanced/Professional",82,0,0,0,0,0,3,0.0673828928986
"806",55,29,132,3,5.9,"Graduate",307,1,0,0,0,0,2,0.905551557901833
"809",64,39,64,3,2.2,"Undergrad",0,0,0,0,1,0,1,0.00046290214063681
"815",33,8,45,2,0.1,"Undergrad",0,0,0,0,0,1,1,0.0000186104637399292
"818",41,15,38,2,0.7,"Undergrad",91,0,0,0,1,0,1,0.000034076864197193
"819",51,27,42,4,1.1,"Graduate",0,0,0,0,1,1,2,0.00262461693309882
"826",37,11,34,3,0.2,"Graduate",0,0,0,0,0,0,2,0.00429011267418346
"829",35,9,28,4,1,"Undergrad",75,0,0,0,1,0,1,0.000051306384548064
"832",61,31,49,4,1.67,"Advanced/Professional",0,0,0,0,1,0,3,0.0244549666042012
"835",36,12,150,4,5.4,"Undergrad",0,1,1,1,1,0,1,0.767671662251362
"837",42,17,74,3,3,"Undergrad",0,0,0,0,0,1,1,0.000366631858782756
"840",39,15,79,4,2.4,"Undergrad",0,0,0,0,0,0,1,0.00239881201687711
"844",64,39,73,3,2.4,"Undergrad",0,0,0,0,1,0,1,0.000841144723994063
"845",47,23,71,1,0.8,"Advanced/Professional",127,0,0,0,1,0,3,0.0108289546571466
"848",40,14,73,1,1.5,"Advanced/Professional",252,0,0,0,1,0,3,0.0160108379901703
"851",46,20,39,1,0.2,"Undergrad",0,0,0,0,0,0,1,0.0000328944705787729
"856",59,33,113,2,2,"Undergrad",77,0,0,0,1,0,1,0.0059834901920772
"859",45,19,19,3,0.5,"Graduate",0,0,0,0,1,0,2,0.00113646230192103
"861",57,31,30,2,0.7,"Graduate",145,0,0,0,0,0,2,0.00334030676241142
"865",28,2,10,1,0.1,"Graduate",0,0,0,0,1,0,2,0.00015687553988052
"866",60,34,22,3,0.3,"Advanced/Professional",139,0,0,0,1,1,3,0.000569028133285699
"869",40,15,161,2,3.3,"Undergrad",0,0,1,0,0,1,1,0.0244211829523565
"873",32,7,44,4,0.8,"Undergrad",0,0,0,0,1,0,1,0.000112061706973557
"876",61,36,21,4,0.4,"Graduate",123,0,0,0,0,0,2,0.00526486186122278
"878",35,11,59,4,0.1,"Graduate",0,0,0,0,0,0,2,0.0294161398087874
"884",51,26,78,1,1.2,"Undergrad",305,0,0,0,1,0,1,0.000367266884878016
"885",38,13,55,2,1.1,"Graduate",0,0,0,0,1,0,2,0.00586266555177858
"887",54,29,74,3,2,"Graduate",0,0,0,0,0,0,2,0.0798378488923857
"888",41,16,118,2,3.3,"Undergrad",0,0,0,0,1,0,1,0.00668409936783028
"892",32,6,120,4,5.4,"Undergrad",301,1,0,1,1,1,1,0.309372097437336
"896",43,17,84,4,2.6,"Advanced/Professional",289,0,1,1,1,1,3,0.535462527077034
"897",50,24,161,3,3.4,"Undergrad",212,1,0,0,1,0,1,0.213355987595721
"908",64,40,15,2,0.3,"Advanced/Professional",115,0,0,0,1,1,3,0.000194767072965793
"917",44,20,85,2,3.2,"Undergrad",0,0,0,0,1,0,1,0.000822560386379862
"920",51,27,88,1,2.6,"Graduate",0,0,1,0,0,1,2,0.00999319630907893
"921",27,1,42,3,2.4,"Graduate",0,0,0,0,0,0,2,0.00873090440054673
"922",31,5,91,3,1.6,"Undergrad",126,0,0,0,1,1,1,0.00050079553054559
"926",42,18,31,1,0.3,"Advanced/Professional",0,0,0,0,0,1,3,0.000339414684050901
"928",65,40,95,3,3.7,"Graduate",138,1,0,0,0,1,2,0.148389271659208
"930",55,30,22,1,1.5,"Graduate",91,0,0,0,0,1,2,0.000339110783319759
"931",28,4,43,3,0.1,"Graduate",0,0,0,0,1,0,2,0.00329162693432062
"935",58,33,81,2,0,"Advanced/Professional",0,0,0,0,1,0,3,0.0325675832627844
"939",62,37,19,4,0.4,"Graduate",124,0,1,0,0,0,2,0.00233553372044975
"943",55,29,30,4,0.7,"Graduate",0,0,0,0,0,1,2,0.00242348280072885
"947",36,11,64,4,2.1,"Advanced/Professional",0,0,0,0,0,0,3,0.0580932786473261
"948",55,29,60,3,2.2,"Advanced/Professional",84,0,0,0,1,0,3,0.0244050596955418
"949",30,4,81,1,2.9,"Advanced/Professional",259,0,0,0,1,1,3,0.00857683758765858
"950",40,16,45,3,0.6,"Graduate",204,0,0,0,1,0,2,0.00609907406835871
"953",44,20,180,2,7.6,"Undergrad",524,0,0,0,0,1,1,0.381283085261075
"956",59,35,14,4,0.7,"Undergrad",0,0,0,0,1,0,1,0.0000237317205850559
"957",37,11,43,1,2,"Undergrad",0,0,0,0,1,0,1,0.0000283920525309163
"959",55,29,78,4,2.6,"Advanced/Professional",0,0,0,0,0,1,3,0.0627996341632222
"967",57,32,44,2,1.6,"Advanced/Professional",0,0,0,0,0,0,3,0.00736982745644358
"968",55,30,73,4,3.8,"Graduate",0,0,0,0,1,0,2,0.0990685623638322
"970",41,15,58,3,0.5,"Advanced/Professional",0,0,0,0,1,0,3,0.0121286429774187
"971",57,32,75,2,3.7,"Undergrad",236,0,0,0,1,0,1,0.000804183236125448
"973",40,16,50,2,1.7,"Undergrad",174,0,0,0,0,0,1,0.000143624439624129
"974",43,18,85,1,4,"Advanced/Professional",287,0,0,0,1,0,3,0.0508237760963863
"975",63,38,54,3,2.2,"Undergrad",0,0,0,0,1,0,1,0.000243566232000251
"976",63,38,83,2,3.4,"Undergrad",0,1,0,0,0,0,1,0.00185167318011022
"981",38,13,114,1,1,"Advanced/Professional",0,0,0,0,1,1,3,0.0381793705975621
"987",53,27,101,4,4.9,"Undergrad",0,0,0,0,1,0,1,0.0113315369794562
"988",62,36,84,2,2.8,"Undergrad",0,0,0,0,1,0,1,0.00106667908715121
"990",42,16,64,3,0.5,"Advanced/Professional",247,0,0,0,0,0,3,0.0403786161340505
"991",34,10,81,4,3.4,"Undergrad",0,0,0,0,1,0,1,0.00170055545248516
"993",34,9,93,1,0,"Undergrad",0,0,0,0,1,0,1,0.000423135601395371
"995",32,8,42,1,1.8,"Graduate",0,0,0,0,0,0,2,0.00254780933963522
"996",28,3,45,2,1.6,"Advanced/Professional",0,0,0,0,1,1,3,0.000859275765777246
"1001",59,35,8,4,0.7,"Undergrad",91,0,1,0,0,0,1,0.0000156023253423661
"1003",46,20,85,2,0.4,"Advanced/Professional",0,0,0,0,0,0,3,0.0669198817446879
"1004",25,1,62,4,0,"Undergrad",229,0,0,0,1,0,1,0.00033399901571889
"1005",53,23,65,4,2,"Advanced/Professional",0,0,0,0,1,0,3,0.0601952939111525
"1010",28,3,25,2,0.9,"Advanced/Professional",140,0,0,0,1,0,3,0.000868816065631562
"1014",39,13,58,3,2.1,"Undergrad",169,0,0,0,1,0,1,0.000275967516400266
"1017",30,5,69,1,0.8,"Graduate",0,0,1,0,1,0,2,0.00340614473745898
"1019",39,15,61,2,0.6,"Advanced/Professional",127,0,0,0,0,0,3,0.0149604450466375
"1020",29,3,30,4,0.3,"Graduate",157,0,0,0,0,0,2,0.00620576223348996
"1022",35,8,41,2,1,"Graduate",0,0,0,0,1,1,2,0.00076332572091638
"1023",27,3,118,1,3.3,"Graduate",0,1,0,0,1,0,2,0.169400698483695
"1024",45,20,109,1,7,"Undergrad",366,0,0,0,1,0,1,0.00651328575210152
"1025",58,33,122,4,0.2,"Graduate",0,1,0,1,1,0,2,0.980249495676117
"1026",62,37,50,3,1.5,"Undergrad",169,0,0,0,1,0,1,0.000201443096028774
"1030",41,17,20,1,1.4,"Advanced/Professional",0,0,0,0,1,0,3,0.000389973858190848
"1031",61,35,112,4,1.7,"Advanced/Professional",0,0,0,0,0,1,3,0.347836236292583
"1032",56,32,25,1,0.1,"Graduate",136,0,0,0,1,0,2,0.000634015193886655
"1033",37,12,42,3,0.7,"Graduate",0,0,0,0,1,1,2,0.00122349195396231
"1035",49,23,84,3,2.1,"Undergrad",134,0,1,0,1,0,1,0.000776568638651229
"1036",43,17,81,4,2.6,"Advanced/Professional",0,0,1,0,1,0,3,0.0607060151273463
"1037",53,28,55,4,0.9,"Undergrad",119,0,0,0,1,1,1,0.000104938568231759
"1042",56,32,51,4,1.5,"Undergrad",0,0,0,0,0,0,1,0.000461651687658026
"1043",64,34,50,4,1.67,"Advanced/Professional",0,0,0,0,1,0,3,0.0271625695439745
"1052",33,7,54,4,0.2,"Undergrad",141,0,1,0,0,0,1,0.000207514727111647
"1054",58,32,51,1,2.8,"Graduate",0,0,0,0,1,0,2,0.00500945431429146
"1055",63,38,8,4,0.6,"Graduate",0,0,0,0,1,0,2,0.00123727584979936
"1060",28,2,11,1,0.1,"Graduate",0,0,0,0,1,1,2,0.0000491917739980987
"1063",47,21,83,1,3.8,"Undergrad",97,1,0,0,0,0,1,0.00106643909367
"1066",25,1,113,3,2.5,"Undergrad",0,0,0,0,0,1,1,0.0028392146398021
"1068",50,24,195,1,1.7,"Undergrad",0,0,0,0,0,0,1,0.443234277946383
"1070",44,18,75,2,3.5,"Undergrad",0,1,0,0,1,0,1,0.000519853396703883
"1072",39,14,61,3,0.5,"Advanced/Professional",137,0,0,0,1,0,3,0.0155844580490664
"1077",40,13,24,3,1,"Graduate",0,0,0,0,1,0,2,0.00166171359889041
"1080",54,30,145,2,6.8,"Undergrad",0,0,1,0,0,0,1,0.0606680135649866
"1081",47,22,24,4,0.4,"Graduate",142,0,0,0,1,0,2,0.00301187428135012
"1082",53,28,20,3,0.1,"Graduate",0,0,0,0,0,0,2,0.00210583038313798
"1084",28,3,65,3,2.6,"Advanced/Professional",0,0,1,0,0,0,3,0.017727512276619
"1087",63,37,40,2,1,"Advanced/Professional",167,0,0,0,0,0,3,0.00728797810003866
"1088",38,13,54,3,0.7,"Graduate",196,0,0,0,0,0,2,0.0192285370230042
"1089",59,35,95,1,3.8,"Undergrad",0,0,0,0,1,1,1,0.000362991344499049
"1091",31,5,79,4,2.2,"Graduate",0,0,0,0,0,0,2,0.137484799508526
"1095",50,24,44,4,1.8,"Undergrad",0,0,0,0,1,1,1,0.0000541260576631583
"1097",43,18,29,1,0.3,"Advanced/Professional",0,0,0,0,1,0,3,0.000625222425065382
"1100",30,6,52,3,0.7,"Graduate",0,0,0,0,1,0,2,0.00656541473274801
"1101",42,16,13,1,0.2,"Undergrad",0,0,0,0,1,0,1,0.00000346238970527456
"1102",42,17,95,3,0.5,"Advanced/Professional",0,0,0,0,0,0,3,0.173230701137331
"1103",29,3,84,1,2.9,"Advanced/Professional",0,0,0,0,1,0,3,0.0253817670863699
"1104",38,14,49,1,1.8,"Undergrad",0,0,0,0,0,0,1,0.0000631873635803716
"1105",51,25,181,1,1.7,"Undergrad",0,0,0,0,1,1,1,0.0534485756069454
"1106",35,10,182,1,0.3,"Graduate",229,1,0,1,1,1,2,0.991284877330967
"1108",47,21,79,3,1.1,"Undergrad",185,0,0,0,1,1,1,0.000295366358065335
"1110",65,41,121,2,2.1,"Undergrad",0,0,0,0,1,0,1,0.00892280811986371
"1111",58,33,34,3,0.2,"Undergrad",83,0,0,0,1,0,1,0.0000508887984786679
"1112",54,28,183,1,1,"Undergrad",442,0,0,0,0,0,1,0.369308784928587
"1117",43,18,122,1,7,"Undergrad",0,0,0,0,1,1,1,0.00278847507300596
"1120",41,16,79,1,1,"Advanced/Professional",233,0,0,0,1,0,3,0.0200286785374992
"1121",34,8,38,2,2,"Advanced/Professional",0,0,0,0,1,1,3,0.00068718408025442
"1122",30,6,49,3,0.7,"Graduate",196,0,0,0,0,1,2,0.00351351468366665
"1123",32,7,38,1,1,"Undergrad",0,0,0,0,1,0,1,0.0000153776166179462
"1126",37,13,172,2,6.5,"Undergrad",0,0,0,0,0,0,1,0.344259001146672
"1128",35,9,58,1,2.5,"Undergrad",0,0,0,0,1,1,1,0.000022580412348753
"1130",30,4,73,3,3.3,"Undergrad",0,1,0,1,1,1,1,0.00657885650239167
"1131",58,32,191,1,2.9,"Undergrad",0,0,0,0,0,0,1,0.459923522423258
"1135",39,14,42,1,2.5,"Advanced/Professional",0,0,0,0,1,0,3,0.00191144704159071
"1137",47,21,65,1,1.5,"Graduate",0,0,1,0,1,0,2,0.00407223519591477
"1138",51,26,134,4,4.5,"Advanced/Professional",0,1,1,1,1,0,3,0.989524932034478
"1139",30,6,83,4,3.4,"Undergrad",0,0,1,0,1,0,1,0.000896474097025991
"1141",32,6,13,4,0.3,"Undergrad",0,0,0,0,1,1,1,0.00000461170089580947
"1143",44,20,75,4,1.9,"Undergrad",0,0,0,0,0,0,1,0.00185354464965484
"1144",33,7,120,1,3.2,"Advanced/Professional",0,1,0,0,1,0,3,0.217547658007795
"1145",49,24,91,1,2.8,"Graduate",0,0,0,0,0,0,2,0.081937899866725
"1150",56,32,158,1,7.4,"Undergrad",0,0,0,0,0,0,1,0.162972050059552
"1153",63,37,21,2,0.4,"Undergrad",0,0,0,0,1,0,1,0.0000140109058023843
"1157",49,25,13,4,0.2,"Undergrad",87,0,0,0,0,0,1,0.0000341313640783266
"1158",48,23,132,1,0.6,"Undergrad",157,0,0,0,0,0,1,0.0137455812611553
"1159",41,16,99,1,1,"Advanced/Professional",0,0,0,0,1,0,3,0.0521582378409707
"1162",36,11,181,3,1.4,"Undergrad",0,1,0,0,0,0,1,0.418202364338346
"1164",34,9,138,2,7.8,"Undergrad",227,0,0,0,1,0,1,0.0546199406588954
"1167",30,5,112,4,5,"Graduate",0,1,0,0,0,1,2,0.354204290934775
"1171",35,10,104,3,0.6,"Graduate",0,0,0,0,0,1,2,0.0909834212076105
"1176",29,4,58,1,0.8,"Graduate",0,0,0,0,1,1,2,0.00100680374185562
"1180",36,11,98,3,1.2,"Advanced/Professional",0,0,1,0,0,1,3,0.036326374088527
"1182",25,0,65,4,0.2,"Undergrad",0,0,1,0,0,0,1,0.00029466809074347
"1183",28,2,19,4,0.4,"Undergrad",0,0,0,0,1,1,1,0.00000643297252202547
"1184",50,25,35,3,1.7,"Graduate",0,0,0,0,1,1,2,0.00113094798334315
"1185",34,9,71,4,1.3,"Undergrad",0,0,0,0,1,0,1,0.000681897381571708
"1187",62,38,43,4,1.2,"Graduate",0,0,0,0,1,0,2,0.0112822020571052
"1196",32,7,123,2,2.9,"Graduate",0,1,0,0,1,0,2,0.340680034519163
"1197",37,13,71,2,2.7,"Undergrad",94,0,0,0,1,0,1,0.000315310328560001
"1199",40,14,42,2,0.7,"Undergrad",101,0,0,0,1,0,1,0.0000436351088329986
"1200",29,4,62,2,2.5,"Undergrad",184,0,0,0,1,0,1,0.000180779684791066
"1202",35,8,38,4,1,"Graduate",0,0,0,0,1,0,2,0.00638467859933504
"1209",50,26,48,1,1.6,"Graduate",0,0,0,0,0,1,2,0.00138751473223576
"1210",46,21,52,3,2.7,"Graduate",228,0,0,0,0,1,2,0.00821747841659308
"1212",61,36,131,1,0.9,"Undergrad",0,0,0,0,1,0,1,0.00792772608571287
"1213",34,8,44,4,0.2,"Undergrad",0,0,0,0,0,0,1,0.000194311456727581
"1217",50,25,84,1,1.3,"Advanced/Professional",0,0,1,0,1,0,3,0.012584394526959
"1220",45,18,80,3,2.67,"Graduate",0,0,0,0,0,0,2,0.12195383355405
"1221",41,17,165,2,8,"Undergrad",0,0,0,0,1,0,1,0.208177004608966
"1223",61,37,20,3,0.4,"Graduate",94,0,0,0,0,0,2,0.00261476535421472
"1225",59,35,45,1,1.8,"Advanced/Professional",0,0,0,0,1,0,3,0.00261378326197824
"1226",30,6,118,2,2.8,"Graduate",0,1,0,0,0,0,2,0.372961621302712
"1227",60,36,14,2,0.3,"Undergrad",109,0,0,0,1,1,1,0.0000025132474272047
"1228",39,13,30,3,0.2,"Graduate",0,0,0,0,0,0,2,0.00344273990384577
"1229",56,30,45,1,0.2,"Undergrad",98,0,0,0,0,0,1,0.0000622384986049346
"1234",53,29,22,2,0.4,"Undergrad",0,0,0,0,1,0,1,0.0000114020187210895
"1241",52,27,15,4,0.8,"Undergrad",101,0,0,0,0,0,1,0.0000481822730739511
"1253",42,17,93,4,1.9,"Advanced/Professional",0,0,0,0,0,0,3,0.287096345701301
"1255",36,12,40,2,0.6,"Advanced/Professional",0,0,0,0,1,1,3,0.000565892507654638
"1260",52,27,35,4,0.2,"Graduate",0,0,0,0,1,0,2,0.00531932881974878
"1262",63,39,84,1,1.8,"Advanced/Professional",0,0,0,0,0,0,3,0.053280252613081
"1270",36,11,14,4,0.2,"Advanced/Professional",100,0,0,0,1,1,3,0.000368494218017364
"1271",43,18,60,2,2.2,"Advanced/Professional",0,0,0,0,0,1,3,0.00530936208849386
"1273",64,39,83,3,1.8,"Graduate",0,0,0,0,1,0,2,0.0892310022056863
"1277",42,16,20,2,0.8,"Advanced/Professional",117,0,0,0,1,1,3,0.000234742401911209
"1278",45,20,194,2,8.8,"Undergrad",428,0,0,0,0,0,1,0.855742489704447
"1280",48,22,84,2,0.4,"Advanced/Professional",145,0,0,0,0,0,3,0.0756290170014386
"1283",51,26,55,1,1.3,"Graduate",236,0,0,0,0,1,2,0.00287924665844512
"1287",29,3,50,3,1.1,"Graduate",0,0,0,0,0,1,2,0.00354916771947706
"1290",46,21,82,4,0.4,"Undergrad",0,0,0,0,0,0,1,0.0024528114393406
"1291",62,38,100,4,1.7,"Graduate",0,0,0,0,1,0,2,0.306861604535923
"1295",34,10,71,1,0.1,"Undergrad",257,0,0,0,1,1,1,0.0000402060701801925
"1297",30,6,80,3,1.5,"Undergrad",219,0,0,0,1,0,1,0.000815422367516442
"1300",50,25,14,2,0.7,"Advanced/Professional",0,0,1,0,1,0,3,0.000247116561364165
"1302",41,17,153,1,1.7,"Undergrad",337,0,0,0,0,1,1,0.0187612248328618
"1303",42,16,38,3,0.9,"Advanced/Professional",0,0,0,0,0,0,3,0.00660494399081151
"1305",51,26,145,1,8.1,"Undergrad",397,0,0,0,0,1,1,0.0421126085942756
"1306",32,6,28,2,0.3,"Graduate",88,0,0,0,1,0,2,0.00101667532399014
"1307",34,9,31,4,1.1,"Advanced/Professional",0,0,0,0,1,1,3,0.00107533487445833
"1310",38,14,71,4,2,"Advanced/Professional",0,0,0,0,0,0,3,0.0837457481353763
"1312",37,11,35,2,0.8,"Advanced/Professional",125,0,0,0,0,0,3,0.00333815158759972
"1320",32,6,35,2,0.3,"Undergrad",0,0,0,0,0,1,1,0.0000107372464288441
"1326",50,24,79,1,0.3,"Undergrad",120,0,0,0,1,0,1,0.000285651538323855
"1329",60,36,145,4,6.9,"Undergrad",380,1,0,0,0,1,1,0.164774912626614
"1332",31,7,84,1,0.1,"Undergrad",0,0,0,0,1,0,1,0.00022040354381576
"1333",31,5,21,1,0.4,"Graduate",0,0,0,0,1,0,2,0.000343754104296984
"1338",26,0,179,4,2.1,"Graduate",0,1,0,0,0,0,2,0.98719891497673
"1343",36,12,79,2,2.2,"Undergrad",0,0,0,0,1,0,1,0.000424591271553977
"1344",41,17,48,2,0.6,"Advanced/Professional",215,0,0,0,0,1,3,0.00224781721959337
"1348",60,34,85,2,2,"Undergrad",0,0,0,0,1,0,1,0.000965822681268293
"1350",26,2,171,3,6,"Graduate",0,1,0,0,1,0,2,0.963070102145274
"1352",59,35,84,1,1.8,"Advanced/Professional",0,0,0,0,1,1,3,0.00883355325587056
"1356",61,37,48,1,0.8,"Undergrad",158,0,0,0,1,0,1,0.0000485477699374239
"1361",54,28,85,4,4.9,"Undergrad",0,0,0,0,1,0,1,0.00424619299819439
"1363",31,5,85,3,1.6,"Undergrad",157,0,0,0,1,1,1,0.000356059282726319
"1364",32,8,79,1,0.1,"Undergrad",0,0,0,0,0,0,1,0.000286287873936853
"1368",62,38,42,3,0.1,"Advanced/Professional",149,0,0,0,0,1,3,0.00312134577282168
"1370",57,33,43,1,1.8,"Advanced/Professional",0,0,0,0,0,0,3,0.0039127660237757
"1372",58,32,65,3,2.5,"Undergrad",222,0,0,0,1,0,1,0.000645831689978884
"1376",50,26,179,1,2.9,"Advanced/Professional",0,1,0,0,0,1,3,0.863663423557078
"1377",63,39,45,4,1.3,"Graduate",86,0,0,0,0,0,2,0.0251257310767229
"1380",62,37,162,1,1.3,"Undergrad",0,0,0,0,1,0,1,0.0571282305597488
"1382",38,12,22,3,0.2,"Graduate",0,0,0,0,1,0,2,0.0011751664753279
"1384",65,41,105,4,1.7,"Graduate",230,0,1,0,1,0,2,0.288690204019909
"1389",52,28,25,4,1,"Undergrad",0,0,0,0,0,0,1,0.0000783739789676515
"1390",45,15,20,1,0.75,"Advanced/Professional",0,0,0,0,1,0,3,0.000530845803181192
"1394",62,37,55,3,0.9,"Advanced/Professional",0,0,0,0,1,0,3,0.01384280707152
"1395",52,27,33,2,0.7,"Graduate",0,0,0,0,0,1,2,0.000882803638156843
"1397",42,18,43,1,0.3,"Advanced/Professional",158,0,0,0,0,0,3,0.00291947593238445
"1398",65,41,45,3,0.1,"Advanced/Professional",0,0,0,0,1,0,3,0.00643369902556584
"1402",40,15,84,1,3.7,"Advanced/Professional",0,0,0,0,1,0,3,0.0319844392709128
"1403",55,29,172,1,5.2,"Graduate",0,1,0,0,0,0,2,0.96124004217544
"1404",32,6,51,4,0.2,"Undergrad",154,0,1,0,0,1,1,0.0000506185000253246
"1405",58,28,75,1,1.4,"Advanced/Professional",0,0,0,0,1,0,3,0.0221477886485676
"1406",46,22,183,1,3.1,"Graduate",0,1,0,1,1,1,2,0.993972226801546
"1407",53,23,20,4,0.4,"Advanced/Professional",0,0,0,0,1,1,3,0.000859869012117508
"1410",41,17,63,2,3.2,"Undergrad",0,0,0,0,0,0,1,0.000346531117000047
"1411",60,35,44,4,2.1,"Undergrad",0,0,0,0,0,0,1,0.000370271939786574
"1413",59,33,100,2,2,"Undergrad",127,0,0,0,0,0,1,0.00491111796168289
"1417",40,15,82,2,0.4,"Undergrad",0,0,0,0,0,0,1,0.000750953580796462
"1418",42,18,52,2,2.5,"Undergrad",0,0,0,0,0,0,1,0.000157198632162318
"1420",30,4,39,1,1.5,"Undergrad",0,0,0,0,0,1,1,0.0000094421057258385
"1422",42,17,54,4,1.9,"Advanced/Professional",164,0,0,0,0,0,3,0.0403047672558433
"1428",31,5,85,2,1.3,"Undergrad",119,0,0,0,1,1,1,0.000187730561524253
"1429",25,-1,21,4,0.4,"Undergrad",90,0,0,0,1,0,1,0.0000262180894439503
"1430",31,5,35,1,0.6,"Advanced/Professional",171,0,0,0,0,0,3,0.00180103120314129
"1432",58,34,128,1,7.4,"Undergrad",0,0,0,0,0,0,1,0.0296490176697866
"1433",26,2,195,1,6.33,"Undergrad",0,0,0,0,0,0,1,0.514393694579896
"1444",36,12,25,4,1,"Undergrad",0,0,0,0,1,0,1,0.0000351984476450406
"1449",41,16,49,3,0.5,"Advanced/Professional",0,0,0,0,1,0,3,0.00653594870459136
"1450",63,37,109,1,2,"Undergrad",0,0,0,0,1,0,1,0.00262893263877665
"1453",54,28,52,4,2.5,"Undergrad",0,0,0,0,1,0,1,0.000361809045415023
"1454",29,5,85,3,2.5,"Undergrad",0,0,0,0,1,1,1,0.000298010514598655
"1457",36,11,39,4,1.7,"Undergrad",0,0,0,0,1,0,1,0.000100897627852036
"1459",51,25,33,1,1.4,"Advanced/Professional",0,0,0,0,1,1,3,0.000339634918850838
"1460",47,20,38,3,2.5,"Graduate",0,0,0,0,0,0,2,0.00988427055148065
"1461",40,16,85,4,0.2,"Advanced/Professional",0,0,0,0,1,1,3,0.0275368142367723
"1462",54,28,48,1,0.2,"Undergrad",0,0,0,0,1,0,1,0.000037255038714294
"1466",45,19,60,1,0.7,"Advanced/Professional",159,0,0,0,1,0,3,0.00608172770758759
"1469",45,18,78,3,2.67,"Graduate",0,0,0,0,1,0,2,0.0653892370683362
"1472",52,26,180,1,1,"Undergrad",0,0,0,0,1,1,1,0.0457633285682073
"1473",34,8,8,3,0.1,"Graduate",83,0,0,0,1,0,2,0.000497260069669073
"1475",48,23,79,2,3.8,"Advanced/Professional",0,0,0,0,1,0,3,0.0456780355488788
"1476",44,19,78,2,3.8,"Advanced/Professional",268,0,0,0,0,0,3,0.0912849730361451
"1482",35,9,179,2,0,"Undergrad",76,0,1,0,1,0,1,0.0854352025712696
"1483",60,35,8,1,0.1,"Undergrad",0,0,0,0,1,0,1,0.00000307343555088382
"1488",28,4,159,1,1.5,"Undergrad",0,0,0,0,1,1,1,0.00856669307871368
"1493",33,8,133,1,0,"Undergrad",0,0,0,0,1,0,1,0.00510153935656397
"1495",59,35,60,1,0,"Graduate",0,0,0,0,1,1,2,0.00147828003702222
"1498",45,21,73,1,0.8,"Advanced/Professional",0,0,0,0,1,0,3,0.010320777726812
"1499",49,23,125,1,7.3,"Undergrad",0,0,0,0,0,0,1,0.0239044027362188
"1500",52,26,91,1,4.3,"Graduate",0,1,0,1,1,1,2,0.43556165624277
"1501",54,28,74,2,1.1,"Undergrad",0,0,0,0,1,0,1,0.000381747038404355
"1502",30,4,35,2,0.3,"Graduate",0,0,1,0,0,1,2,0.000352661690748353
"1504",34,8,52,4,2.2,"Graduate",0,0,0,0,0,0,2,0.0297399382595073
"1506",51,25,18,1,0.3,"Advanced/Professional",93,0,0,0,0,1,3,0.000215086061039072
"1509",35,10,75,4,0.7,"Advanced/Professional",0,0,0,0,1,1,3,0.0159088025624687
"1511",57,32,33,2,2,"Graduate",0,0,0,0,1,0,2,0.00228427768231927
"1512",58,32,65,3,2.2,"Advanced/Professional",0,0,0,0,0,0,3,0.0539346178184264
"1513",53,28,44,3,1.7,"Undergrad",0,0,0,0,0,0,1,0.000180479920964207
"1514",45,21,183,2,1.4,"Undergrad",354,0,0,0,0,0,1,0.431668303958321
"1517",41,17,49,4,2.2,"Graduate",0,0,0,0,0,0,2,0.0244409144987462
"1522",33,8,175,2,6.7,"Undergrad",102,0,0,0,1,0,1,0.295566363272922
"1524",41,16,104,1,1,"Advanced/Professional",0,0,0,0,1,0,3,0.0700291803684776
"1525",40,16,155,4,0.1,"Advanced/Professional",0,1,0,1,1,1,3,0.987851351346239
"1528",57,33,45,1,1.8,"Advanced/Professional",195,0,0,0,0,0,3,0.00552457307421929
"1530",38,14,58,4,2,"Advanced/Professional",153,0,1,0,0,0,3,0.0231806002405107
"1532",39,13,25,4,1.5,"Advanced/Professional",0,0,0,0,1,0,3,0.00305649544932403
"1533",45,20,55,1,0.3,"Undergrad",0,0,0,0,1,1,1,0.0000142453060459723
"1534",62,37,155,1,1.3,"Undergrad",0,0,0,0,0,0,1,0.0640132230725184
"1536",61,37,39,4,0.4,"Undergrad",0,0,0,0,1,1,1,0.0000328859918890802
"1537",36,12,73,4,2,"Advanced/Professional",188,0,0,0,1,0,3,0.0663504493279843
"1539",55,30,34,4,0.1,"Advanced/Professional",157,0,0,0,1,0,3,0.00608975641144732
"1543",50,20,19,4,0.4,"Advanced/Professional",0,0,0,0,0,0,3,0.00457374305486424
"1544",52,26,101,2,2.4,"Graduate",0,0,0,0,1,0,2,0.146376354407488
"1545",39,15,24,1,1,"Undergrad",116,0,0,0,1,1,1,0.00000224668604206488
"1548",47,21,52,1,1.2,"Graduate",194,0,0,0,0,0,2,0.00755558643184753
"1551",40,14,39,1,2,"Undergrad",0,0,0,0,1,0,1,0.0000231093249991367
"1552",50,25,192,2,2.8,"Undergrad",238,0,0,0,0,1,1,0.332045665399862
"1554",46,22,83,3,0.7,"Undergrad",0,0,0,0,0,0,1,0.00149712588761427
